2021-02-24 00:10:04,966 [INFO ] - [OnSessionStarted] session(20285a15-1d64-4e18-adbb-626c3d6e26e7))
2021-02-24 00:10:39,854 [INFO ] - [projectile] created...
2021-02-24 00:10:39,957 [INFO ] - [projectile x[15], y[15]
2021-02-24 00:10:39,957 [INFO ] - [projectile x[15.10648], y[15.60388]
2021-02-24 00:10:39,958 [INFO ] - [projectile x[15.21296], y[16.20776]
2021-02-24 00:10:39,959 [INFO ] - [projectile x[15.31944], y[16.81165]
2021-02-24 00:10:39,959 [INFO ] - [projectile x[15.42592], y[17.41553]
2021-02-24 00:10:40,077 [INFO ] - [projectile x[15.5324], y[18.01941]
2021-02-24 00:10:40,077 [INFO ] - [projectile x[15.65791], y[18.7312]
2021-02-24 00:10:40,078 [INFO ] - [projectile x[15.78342], y[19.44298]
2021-02-24 00:10:40,080 [INFO ] - [projectile x[15.90893], y[20.15477]
2021-02-24 00:10:40,080 [INFO ] - [projectile x[16.03443], y[20.86655]
2021-02-24 00:10:40,198 [INFO ] - [projectile x[16.15994], y[21.57834]
2021-02-24 00:10:40,198 [INFO ] - [projectile x[16.28536], y[22.28965]
2021-02-24 00:10:40,199 [INFO ] - [projectile x[16.41079], y[23.00097]
2021-02-24 00:10:40,199 [INFO ] - [projectile x[16.53621], y[23.71228]
2021-02-24 00:10:40,200 [INFO ] - [projectile x[16.66163], y[24.42359]
2021-02-24 00:10:40,304 [INFO ] - [projectile x[16.78706], y[25.1349]
2021-02-24 00:10:40,304 [INFO ] - [projectile x[16.89741], y[25.76072]
2021-02-24 00:10:40,307 [INFO ] - [projectile x[17.00776], y[26.38654]
2021-02-24 00:10:40,308 [INFO ] - [projectile x[17.1181], y[27.01235]
2021-02-24 00:10:40,308 [INFO ] - [projectile x[17.22845], y[27.63817]
2021-02-24 00:10:40,410 [INFO ] - [projectile x[17.3388], y[28.26399]
2021-02-24 00:10:40,410 [INFO ] - [projectile x[17.44901], y[28.88899]
2021-02-24 00:10:40,411 [INFO ] - [projectile x[17.55921], y[29.514]
2021-02-24 00:10:40,412 [INFO ] - [projectile x[17.66942], y[30.139]
